Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010611 | lrm: 1.00 | dt: 18233ms | tok/sec: 14,377 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.201816 | lrm: 1.00 | dt: 689ms | tok/sec: 380,265 | mfu: 16.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.082382 | lrm: 1.00 | dt: 861ms | tok/sec: 304,530 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.759493 | lrm: 1.00 | dt: 741ms | tok/sec: 353,950 | mfu: 15.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.433277 | lrm: 1.00 | dt: 739ms | tok/sec: 354,685 | mfu: 15.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.107481 | lrm: 1.00 | dt: 778ms | tok/sec: 337,100 | mfu: 14.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.818863 | lrm: 1.00 | dt: 727ms | tok/sec: 360,697 | mfu: 15.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.568696 | lrm: 1.00 | dt: 920ms | tok/sec: 284,931 | mfu: 12.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.341653 | lrm: 1.00 | dt: 770ms | tok/sec: 340,485 | mfu: 14.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.135399 | lrm: 1.00 | dt: 864ms | tok/sec: 303,267 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.964889 | lrm: 1.00 | dt: 817ms | tok/sec: 320,784 | mfu: 13.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.805568 | lrm: 1.00 | dt: 853ms | tok/sec: 307,140 | mfu: 13.3% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.659684 | lrm: 1.00 | dt: 749ms | tok/sec: 349,850 | mfu: 15.2% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.540987 | lrm: 1.00 | dt: 838ms | tok/sec: 312,800 | mfu: 13.5% | epoch: 1 | remaining: 298s    
step 00315 (84.6%) | loss: 3.123906 | lrm: 0.31 | dt: 772ms | tok/sec: 339,451 | mfu: 14.7% | epoch: 1 | remaining: 45s    
step 00316 (84.8%) | loss: 3.122691 | lrm: 0.30 | dt: 694ms | tok/sec: 377,878 | mfu: 16.4% | epoch: 1 | remaining: 45s    
step 00317 (85.1%) | loss: 3.129148 | lrm: 0.30 | dt: 730ms | tok/sec: 359,120 | mfu: 15.6% | epoch: 1 | remaining: 44s    
step 00318 (85.3%) | loss: 3.136475 | lrm: 0.29 | dt: 745ms | tok/sec: 351,678 | mfu: 15.2% | epoch: 1 | remaining: 43s    
step 00319 (85.6%) | loss: 3.134188 | lrm: 0.29 | dt: 695ms | tok/sec: 377,401 | mfu: 16.3% | epoch: 1 | remaining: 43s    
step 00320 (85.8%) | loss: 3.129601 | lrm: 0.28 | dt: 721ms | tok/sec: 363,695 | mfu: 15.8% | epoch: 1 | remaining: 42s    
step 00321 (86.0%) | loss: 3.572444 | lrm: 0.28 | dt: 695ms | tok/sec: 376,940 | mfu: 16.3% | epoch: 1 | remaining: 41s    
step 00322 (86.3%) | loss: 3.535543 | lrm: 0.27 | dt: 695ms | tok/sec: 377,351 | mfu: 16.3% | epoch: 1 | remaining: 41s    
step 00323 (86.5%) | loss: 3.488058 | lrm: 0.27 | dt: 694ms | tok/sec: 377,544 | mfu: 16.4% | epoch: 1 | remaining: 40s    
step 00324 (86.7%) | loss: 4.297802 | lrm: 0.27 | dt: 694ms | tok/sec: 377,843 | mfu: 16.4% | epoch: 1 | remaining: 39s    
step 00325 (87.0%) | loss: 4.182470 | lrm: 0.26 | dt: 695ms | tok/sec: 377,172 | mfu: 16.3% | epoch: 1 | remaining: 38s    
step 00326 (87.2%) | loss: 4.857347 | lrm: 0.26 | dt: 694ms | tok/sec: 377,868 | mfu: 16.4% | epoch: 1 | remaining: 38s    
step 00327 (87.4%) | loss: 4.686751 | lrm: 0.25 | dt: 692ms | tok/sec: 378,752 | mfu: 16.4% | epoch: 1 | remaining: 37s    
step 00328 (87.7%) | loss: 5.181254 | lrm: 0.25 | dt: 696ms | tok/sec: 376,821 | mfu: 16.3% | epoch: 1 | remaining: 36s    
step 00329 (87.9%) | loss: 5.530295 | lrm: 0.24 | dt: 693ms | tok/sec: 378,300 | mfu: 16.4% | epoch: 1 | remaining: 36s    
step 00330 (88.1%) | loss: 5.351012 | lrm: 0.24 | dt: 692ms | tok/sec: 378,825 | mfu: 16.4% | epoch: 1 | remaining: 35s    
step 00331 (88.3%) | loss: 5.715322 | lrm: 0.23 | dt: 695ms | tok/sec: 377,395 | mfu: 16.3% | epoch: 1 | remaining: 34s    
step 00332 (88.6%) | loss: 5.474276 | lrm: 0.23 | dt: 698ms | tok/sec: 375,719 | mfu: 16.3% | epoch: 1 | remaining: 34s    
step 00333 (88.8%) | loss: 5.256558 | lrm: 0.22 | dt: 694ms | tok/sec: 377,471 | mfu: 16.4% | epoch: 1 | remaining: 33s    
step 00334 (89.0%) | loss: 5.055143 | lrm: 0.22 | dt: 694ms | tok/sec: 377,524 | mfu: 16.4% | epoch: 1 | remaining: 32s    
step 00335 (89.3%) | loss: 5.572700 | lrm: 0.21 | dt: 694ms | tok/sec: 377,604 | mfu: 16.4% | epoch: 1 | remaining: 31s    
step 00336 (89.5%) | loss: 6.036798 | lrm: 0.21 | dt: 694ms | tok/sec: 377,921 | mfu: 16.4% | epoch: 1 | remaining: 31s    
step 00337 (89.7%) | loss: 5.751587 | lrm: 0.21 | dt: 694ms | tok/sec: 377,539 | mfu: 16.4% | epoch: 1 | remaining: 30s    
step 00338 (90.0%) | loss: 5.508210 | lrm: 0.20 | dt: 694ms | tok/sec: 377,602 | mfu: 16.4% | epoch: 1 | remaining: 29s    
step 00339 (90.2%) | loss: 5.286567 | lrm: 0.20 | dt: 694ms | tok/sec: 377,587 | mfu: 16.4% | epoch: 1 | remaining: 29s    
step 00340 (90.4%) | loss: 5.080099 | lrm: 0.19 | dt: 694ms | tok/sec: 377,871 | mfu: 16.4% | epoch: 1 | remaining: 28s    
step 00341 (90.7%) | loss: 4.897944 | lrm: 0.19 | dt: 694ms | tok/sec: 377,855 | mfu: 16.4% | epoch: 1 | remaining: 27s    
step 00342 (90.9%) | loss: 5.367926 | lrm: 0.18 | dt: 697ms | tok/sec: 376,339 | mfu: 16.3% | epoch: 1 | remaining: 27s    
step 00343 (91.1%) | loss: 5.149611 | lrm: 0.18 | dt: 694ms | tok/sec: 377,623 | mfu: 16.4% | epoch: 1 | remaining: 26s    
step 00344 (91.4%) | loss: 5.581670 | lrm: 0.17 | dt: 694ms | tok/sec: 377,907 | mfu: 16.4% | epoch: 1 | remaining: 25s    
step 00345 (91.6%) | loss: 5.960289 | lrm: 0.17 | dt: 694ms | tok/sec: 377,977 | mfu: 16.4% | epoch: 1 | remaining: 25s    
step 00346 (91.8%) | loss: 5.692702 | lrm: 0.16 | dt: 693ms | tok/sec: 378,129 | mfu: 16.4% | epoch: 1 | remaining: 24s    
step 00347 (92.1%) | loss: 5.448663 | lrm: 0.16 | dt: 694ms | tok/sec: 377,933 | mfu: 16.4% | epoch: 1 | remaining: 23s    
step 00348 (92.3%) | loss: 5.541678 | lrm: 0.15 | dt: 694ms | tok/sec: 377,822 | mfu: 16.4% | epoch: 1 | remaining: 22s    
step 00349 (92.5%) | loss: 5.322158 | lrm: 0.15 | dt: 694ms | tok/sec: 377,902 | mfu: 16.4% | epoch: 1 | remaining: 22s    
step 00350 (92.7%) | loss: 5.104938 | lrm: 0.15 | dt: 694ms | tok/sec: 377,971 | mfu: 16.4% | epoch: 1 | remaining: 21s    
step 00351 (93.0%) | loss: 5.550247 | lrm: 0.14 | dt: 695ms | tok/sec: 377,374 | mfu: 16.3% | epoch: 1 | remaining: 20s    
step 00352 (93.2%) | loss: 5.948918 | lrm: 0.14 | dt: 694ms | tok/sec: 377,588 | mfu: 16.4% | epoch: 1 | remaining: 20s    
step 00353 (93.4%) | loss: 5.677558 | lrm: 0.13 | dt: 694ms | tok/sec: 377,672 | mfu: 16.4% | epoch: 1 | remaining: 19s    
step 00354 (93.7%) | loss: 5.431250 | lrm: 0.13 | dt: 694ms | tok/sec: 377,539 | mfu: 16.4% | epoch: 1 | remaining: 18s    
step 00355 (93.9%) | loss: 5.201487 | lrm: 0.12 | dt: 693ms | tok/sec: 378,311 | mfu: 16.4% | epoch: 1 | remaining: 18s    
step 00356 (94.1%) | loss: 5.004947 | lrm: 0.12 | dt: 694ms | tok/sec: 377,501 | mfu: 16.4% | epoch: 1 | remaining: 17s    
step 00357 (94.4%) | loss: 4.825747 | lrm: 0.11 | dt: 697ms | tok/sec: 376,015 | mfu: 16.3% | epoch: 1 | remaining: 16s    
step 00358 (94.6%) | loss: 4.650703 | lrm: 0.11 | dt: 700ms | tok/sec: 374,651 | mfu: 16.2% | epoch: 1 | remaining: 16s    
step 00359 (94.8%) | loss: 5.184937 | lrm: 0.10 | dt: 695ms | tok/sec: 377,137 | mfu: 16.3% | epoch: 1 | remaining: 15s    
step 00360 (95.1%) | loss: 4.986665 | lrm: 0.10 | dt: 694ms | tok/sec: 377,544 | mfu: 16.4% | epoch: 1 | remaining: 14s    
step 00361 (95.3%) | loss: 4.795760 | lrm: 0.09 | dt: 694ms | tok/sec: 377,481 | mfu: 16.4% | epoch: 1 | remaining: 13s    
step 00362 (95.5%) | loss: 4.623830 | lrm: 0.09 | dt: 698ms | tok/sec: 375,486 | mfu: 16.3% | epoch: 1 | remaining: 13s    
step 00363 (95.8%) | loss: 4.474451 | lrm: 0.08 | dt: 695ms | tok/sec: 377,086 | mfu: 16.3% | epoch: 1 | remaining: 12s    
step 00364 (96.0%) | loss: 4.342522 | lrm: 0.08 | dt: 694ms | tok/sec: 377,597 | mfu: 16.4% | epoch: 1 | remaining: 11s    
step 00365 (96.2%) | loss: 4.226363 | lrm: 0.08 | dt: 697ms | tok/sec: 376,318 | mfu: 16.3% | epoch: 1 | remaining: 11s    
step 00366 (96.5%) | loss: 4.109030 | lrm: 0.07 | dt: 694ms | tok/sec: 377,770 | mfu: 16.4% | epoch: 1 | remaining: 10s    
step 00367 (96.7%) | loss: 4.011761 | lrm: 0.07 | dt: 742ms | tok/sec: 353,171 | mfu: 15.3% | epoch: 1 | remaining: 9s    
step 00368 (96.9%) | loss: 3.911809 | lrm: 0.06 | dt: 726ms | tok/sec: 361,226 | mfu: 15.6% | epoch: 1 | remaining: 8s    
step 00369 (97.2%) | loss: 3.834189 | lrm: 0.06 | dt: 697ms | tok/sec: 376,362 | mfu: 16.3% | epoch: 1 | remaining: 8s    
step 00370 (97.4%) | loss: 3.772856 | lrm: 0.05 | dt: 700ms | tok/sec: 374,507 | mfu: 16.2% | epoch: 1 | remaining: 7s    
step 00371 (97.6%) | loss: 3.712110 | lrm: 0.05 | dt: 721ms | tok/sec: 363,678 | mfu: 15.8% | epoch: 1 | remaining: 6s    
step 00372 (97.9%) | loss: 3.651029 | lrm: 0.04 | dt: 731ms | tok/sec: 358,521 | mfu: 15.5% | epoch: 1 | remaining: 6s    
step 00373 (98.1%) | loss: 3.596889 | lrm: 0.04 | dt: 717ms | tok/sec: 365,541 | mfu: 15.8% | epoch: 1 | remaining: 5s    
step 00374 (98.4%) | loss: 3.541306 | lrm: 0.03 | dt: 734ms | tok/sec: 357,306 | mfu: 15.5% | epoch: 1 | remaining: 4s    
step 00375 (98.6%) | loss: 3.487499 | lrm: 0.03 | dt: 698ms | tok/sec: 375,750 | mfu: 16.3% | epoch: 1 | remaining: 3s    
step 00376 (98.8%) | loss: 3.451894 | lrm: 0.02 | dt: 760ms | tok/sec: 344,937 | mfu: 14.9% | epoch: 1 | remaining: 3s    
step 00377 (99.1%) | loss: 3.408126 | lrm: 0.02 | dt: 711ms | tok/sec: 368,668 | mfu: 16.0% | epoch: 1 | remaining: 2s    
step 00378 (99.3%) | loss: 3.381082 | lrm: 0.01 | dt: 694ms | tok/sec: 377,595 | mfu: 16.4% | epoch: 1 | remaining: 1s    
step 00379 (99.6%) | loss: 3.362607 | lrm: 0.01 | dt: 695ms | tok/sec: 377,151 | mfu: 16.3% | epoch: 1 | remaining: 1s    
step 00380 (99.8%) | loss: 3.339396 | lrm: 0.00 | dt: 693ms | tok/sec: 378,129 | mfu: 16.4% | epoch: 1 | remaining: 0s    
---
val_bpb:          1.112222
training_seconds: 300.1
total_seconds:    392.7
peak_vram_mb:     17778.9
mfu_percent:      14.04
total_tokens_M:   99.9
num_steps:        381
num_params_M:     85.9
depth:            10
