Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010611 | lrm: 1.00 | dt: 24071ms | tok/sec: 10,890 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.201816 | lrm: 1.00 | dt: 888ms | tok/sec: 295,116 | mfu: 12.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.082386 | lrm: 1.00 | dt: 935ms | tok/sec: 280,372 | mfu: 12.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.759513 | lrm: 1.00 | dt: 1034ms | tok/sec: 253,574 | mfu: 11.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.433337 | lrm: 1.00 | dt: 1071ms | tok/sec: 244,776 | mfu: 10.6% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.107570 | lrm: 1.00 | dt: 1065ms | tok/sec: 246,037 | mfu: 10.7% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.818989 | lrm: 1.00 | dt: 1069ms | tok/sec: 245,274 | mfu: 10.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.568892 | lrm: 1.00 | dt: 1140ms | tok/sec: 230,002 | mfu: 10.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.341811 | lrm: 1.00 | dt: 849ms | tok/sec: 308,766 | mfu: 13.4% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.135519 | lrm: 1.00 | dt: 968ms | tok/sec: 270,930 | mfu: 11.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.964974 | lrm: 1.00 | dt: 958ms | tok/sec: 273,581 | mfu: 11.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.805650 | lrm: 1.00 | dt: 1027ms | tok/sec: 255,322 | mfu: 11.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.659787 | lrm: 1.00 | dt: 782ms | tok/sec: 335,178 | mfu: 14.5% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 6.541114 | lrm: 1.00 | dt: 1067ms | tok/sec: 245,727 | mfu: 10.6% | epoch: 1 | remaining: 297s    
step 00315 (83.3%) | loss: 4.060847 | lrm: 0.33 | dt: 697ms | tok/sec: 376,112 | mfu: 16.3% | epoch: 1 | remaining: 49s    
step 00316 (83.5%) | loss: 3.970576 | lrm: 0.33 | dt: 695ms | tok/sec: 377,088 | mfu: 16.3% | epoch: 1 | remaining: 49s    
step 00317 (83.7%) | loss: 4.639170 | lrm: 0.33 | dt: 696ms | tok/sec: 376,788 | mfu: 16.3% | epoch: 1 | remaining: 48s    
step 00318 (84.0%) | loss: 4.500749 | lrm: 0.32 | dt: 696ms | tok/sec: 376,609 | mfu: 16.3% | epoch: 1 | remaining: 47s    
step 00319 (84.2%) | loss: 4.367685 | lrm: 0.32 | dt: 695ms | tok/sec: 377,272 | mfu: 16.3% | epoch: 1 | remaining: 47s    
step 00320 (84.4%) | loss: 4.248024 | lrm: 0.31 | dt: 697ms | tok/sec: 376,123 | mfu: 16.3% | epoch: 1 | remaining: 46s    
step 00321 (84.7%) | loss: 4.138460 | lrm: 0.31 | dt: 696ms | tok/sec: 376,687 | mfu: 16.3% | epoch: 1 | remaining: 45s    
step 00322 (84.9%) | loss: 4.050165 | lrm: 0.30 | dt: 696ms | tok/sec: 376,552 | mfu: 16.3% | epoch: 1 | remaining: 45s    
step 00323 (85.1%) | loss: 3.970196 | lrm: 0.30 | dt: 696ms | tok/sec: 376,625 | mfu: 16.3% | epoch: 1 | remaining: 44s    
step 00324 (85.4%) | loss: 3.892000 | lrm: 0.29 | dt: 699ms | tok/sec: 374,807 | mfu: 16.2% | epoch: 1 | remaining: 43s    
step 00325 (85.6%) | loss: 3.820227 | lrm: 0.29 | dt: 701ms | tok/sec: 374,041 | mfu: 16.2% | epoch: 1 | remaining: 42s    
step 00326 (85.8%) | loss: 3.755147 | lrm: 0.28 | dt: 696ms | tok/sec: 376,781 | mfu: 16.3% | epoch: 1 | remaining: 42s    
step 00327 (86.1%) | loss: 3.683340 | lrm: 0.28 | dt: 696ms | tok/sec: 376,818 | mfu: 16.3% | epoch: 1 | remaining: 41s    
step 00328 (86.3%) | loss: 3.639117 | lrm: 0.27 | dt: 744ms | tok/sec: 352,504 | mfu: 15.3% | epoch: 1 | remaining: 40s    
step 00329 (86.5%) | loss: 3.594884 | lrm: 0.27 | dt: 824ms | tok/sec: 318,014 | mfu: 13.8% | epoch: 1 | remaining: 40s    
step 00330 (86.8%) | loss: 3.549837 | lrm: 0.26 | dt: 720ms | tok/sec: 364,062 | mfu: 15.8% | epoch: 1 | remaining: 39s    
step 00331 (87.1%) | loss: 3.513261 | lrm: 0.26 | dt: 777ms | tok/sec: 337,333 | mfu: 14.6% | epoch: 1 | remaining: 38s    
step 00332 (87.3%) | loss: 3.472020 | lrm: 0.25 | dt: 729ms | tok/sec: 359,460 | mfu: 15.6% | epoch: 1 | remaining: 37s    
step 00333 (87.6%) | loss: 3.446820 | lrm: 0.25 | dt: 705ms | tok/sec: 372,052 | mfu: 16.1% | epoch: 1 | remaining: 37s    
step 00334 (87.8%) | loss: 3.416511 | lrm: 0.24 | dt: 698ms | tok/sec: 375,756 | mfu: 16.3% | epoch: 1 | remaining: 36s    
step 00335 (88.0%) | loss: 3.388958 | lrm: 0.24 | dt: 695ms | tok/sec: 377,114 | mfu: 16.3% | epoch: 1 | remaining: 35s    
step 00336 (88.3%) | loss: 3.360530 | lrm: 0.23 | dt: 696ms | tok/sec: 376,617 | mfu: 16.3% | epoch: 1 | remaining: 35s    
step 00337 (88.5%) | loss: 3.329941 | lrm: 0.23 | dt: 696ms | tok/sec: 376,909 | mfu: 16.3% | epoch: 1 | remaining: 34s    
step 00338 (88.7%) | loss: 4.093799 | lrm: 0.23 | dt: 699ms | tok/sec: 375,033 | mfu: 16.2% | epoch: 1 | remaining: 33s    
step 00339 (89.0%) | loss: 3.997268 | lrm: 0.22 | dt: 696ms | tok/sec: 376,752 | mfu: 16.3% | epoch: 1 | remaining: 32s    
step 00340 (89.2%) | loss: 4.676930 | lrm: 0.22 | dt: 696ms | tok/sec: 376,649 | mfu: 16.3% | epoch: 1 | remaining: 32s    
step 00341 (89.4%) | loss: 4.520990 | lrm: 0.21 | dt: 696ms | tok/sec: 376,376 | mfu: 16.3% | epoch: 1 | remaining: 31s    
step 00342 (89.7%) | loss: 4.370917 | lrm: 0.21 | dt: 696ms | tok/sec: 376,779 | mfu: 16.3% | epoch: 1 | remaining: 30s    
step 00343 (89.9%) | loss: 4.238249 | lrm: 0.20 | dt: 695ms | tok/sec: 376,931 | mfu: 16.3% | epoch: 1 | remaining: 30s    
step 00344 (90.1%) | loss: 4.126657 | lrm: 0.20 | dt: 699ms | tok/sec: 375,102 | mfu: 16.2% | epoch: 1 | remaining: 29s    
step 00345 (90.4%) | loss: 4.032988 | lrm: 0.19 | dt: 699ms | tok/sec: 375,145 | mfu: 16.2% | epoch: 1 | remaining: 28s    
step 00346 (90.6%) | loss: 3.944581 | lrm: 0.19 | dt: 714ms | tok/sec: 367,109 | mfu: 15.9% | epoch: 1 | remaining: 28s    
step 00347 (90.8%) | loss: 3.860085 | lrm: 0.18 | dt: 697ms | tok/sec: 376,233 | mfu: 16.3% | epoch: 1 | remaining: 27s    
step 00348 (91.1%) | loss: 4.165439 | lrm: 0.18 | dt: 695ms | tok/sec: 377,268 | mfu: 16.3% | epoch: 1 | remaining: 26s    
step 00349 (91.3%) | loss: 4.069254 | lrm: 0.17 | dt: 697ms | tok/sec: 376,006 | mfu: 16.3% | epoch: 1 | remaining: 25s    
step 00350 (91.5%) | loss: 4.347770 | lrm: 0.17 | dt: 696ms | tok/sec: 376,499 | mfu: 16.3% | epoch: 1 | remaining: 25s    
step 00351 (91.8%) | loss: 4.214360 | lrm: 0.16 | dt: 696ms | tok/sec: 376,783 | mfu: 16.3% | epoch: 1 | remaining: 24s    
step 00352 (92.0%) | loss: 4.109618 | lrm: 0.16 | dt: 697ms | tok/sec: 375,930 | mfu: 16.3% | epoch: 1 | remaining: 23s    
step 00353 (92.2%) | loss: 4.746404 | lrm: 0.16 | dt: 699ms | tok/sec: 374,787 | mfu: 16.2% | epoch: 1 | remaining: 23s    
step 00354 (92.5%) | loss: 5.317139 | lrm: 0.15 | dt: 696ms | tok/sec: 376,888 | mfu: 16.3% | epoch: 1 | remaining: 22s    
step 00355 (92.7%) | loss: 5.451746 | lrm: 0.15 | dt: 696ms | tok/sec: 376,722 | mfu: 16.3% | epoch: 1 | remaining: 21s    
step 00356 (92.9%) | loss: 5.224597 | lrm: 0.14 | dt: 695ms | tok/sec: 377,051 | mfu: 16.3% | epoch: 1 | remaining: 21s    
step 00357 (93.1%) | loss: 5.020496 | lrm: 0.14 | dt: 696ms | tok/sec: 376,811 | mfu: 16.3% | epoch: 1 | remaining: 20s    
step 00358 (93.4%) | loss: 5.168809 | lrm: 0.13 | dt: 696ms | tok/sec: 376,619 | mfu: 16.3% | epoch: 1 | remaining: 19s    
step 00359 (93.6%) | loss: 4.959340 | lrm: 0.13 | dt: 695ms | tok/sec: 376,936 | mfu: 16.3% | epoch: 1 | remaining: 18s    
step 00360 (93.8%) | loss: 4.768540 | lrm: 0.12 | dt: 694ms | tok/sec: 377,539 | mfu: 16.4% | epoch: 1 | remaining: 18s    
step 00361 (94.1%) | loss: 5.170649 | lrm: 0.12 | dt: 695ms | tok/sec: 376,993 | mfu: 16.3% | epoch: 1 | remaining: 17s    
step 00362 (94.3%) | loss: 4.961372 | lrm: 0.11 | dt: 697ms | tok/sec: 376,278 | mfu: 16.3% | epoch: 1 | remaining: 16s    
step 00363 (94.5%) | loss: 4.779887 | lrm: 0.11 | dt: 695ms | tok/sec: 377,120 | mfu: 16.3% | epoch: 1 | remaining: 16s    
step 00364 (94.8%) | loss: 5.289686 | lrm: 0.10 | dt: 701ms | tok/sec: 373,924 | mfu: 16.2% | epoch: 1 | remaining: 15s    
step 00365 (95.0%) | loss: 5.073591 | lrm: 0.10 | dt: 696ms | tok/sec: 376,795 | mfu: 16.3% | epoch: 1 | remaining: 14s    
step 00366 (95.2%) | loss: 4.891788 | lrm: 0.10 | dt: 696ms | tok/sec: 376,609 | mfu: 16.3% | epoch: 1 | remaining: 14s    
step 00367 (95.5%) | loss: 4.719763 | lrm: 0.09 | dt: 695ms | tok/sec: 377,118 | mfu: 16.3% | epoch: 1 | remaining: 13s    
step 00368 (95.7%) | loss: 4.551286 | lrm: 0.09 | dt: 696ms | tok/sec: 376,884 | mfu: 16.3% | epoch: 1 | remaining: 12s    
step 00369 (95.9%) | loss: 4.404887 | lrm: 0.08 | dt: 696ms | tok/sec: 376,382 | mfu: 16.3% | epoch: 1 | remaining: 12s    
step 00370 (96.2%) | loss: 4.954506 | lrm: 0.08 | dt: 696ms | tok/sec: 376,790 | mfu: 16.3% | epoch: 1 | remaining: 11s    
step 00371 (96.4%) | loss: 4.773993 | lrm: 0.07 | dt: 696ms | tok/sec: 376,731 | mfu: 16.3% | epoch: 1 | remaining: 10s    
step 00372 (96.6%) | loss: 4.608827 | lrm: 0.07 | dt: 695ms | tok/sec: 376,974 | mfu: 16.3% | epoch: 1 | remaining: 9s    
step 00373 (96.9%) | loss: 4.461340 | lrm: 0.06 | dt: 696ms | tok/sec: 376,559 | mfu: 16.3% | epoch: 1 | remaining: 9s    
step 00374 (97.1%) | loss: 4.320838 | lrm: 0.06 | dt: 697ms | tok/sec: 376,283 | mfu: 16.3% | epoch: 1 | remaining: 8s    
step 00375 (97.3%) | loss: 4.190929 | lrm: 0.05 | dt: 697ms | tok/sec: 376,111 | mfu: 16.3% | epoch: 1 | remaining: 7s    
step 00376 (97.6%) | loss: 4.086962 | lrm: 0.05 | dt: 697ms | tok/sec: 376,340 | mfu: 16.3% | epoch: 1 | remaining: 7s    
step 00377 (97.8%) | loss: 3.980961 | lrm: 0.04 | dt: 698ms | tok/sec: 375,793 | mfu: 16.3% | epoch: 1 | remaining: 6s    
step 00378 (98.0%) | loss: 3.898165 | lrm: 0.04 | dt: 695ms | tok/sec: 377,090 | mfu: 16.3% | epoch: 1 | remaining: 5s    
step 00379 (98.3%) | loss: 3.822204 | lrm: 0.03 | dt: 697ms | tok/sec: 376,223 | mfu: 16.3% | epoch: 1 | remaining: 5s    
step 00380 (98.5%) | loss: 3.754594 | lrm: 0.03 | dt: 696ms | tok/sec: 376,618 | mfu: 16.3% | epoch: 1 | remaining: 4s    
step 00381 (98.7%) | loss: 4.379216 | lrm: 0.03 | dt: 695ms | tok/sec: 377,235 | mfu: 16.3% | epoch: 1 | remaining: 3s    
step 00382 (98.9%) | loss: 4.260566 | lrm: 0.02 | dt: 695ms | tok/sec: 377,212 | mfu: 16.3% | epoch: 1 | remaining: 2s    
step 00383 (99.2%) | loss: 4.833659 | lrm: 0.02 | dt: 695ms | tok/sec: 377,192 | mfu: 16.3% | epoch: 1 | remaining: 2s    
step 00384 (99.4%) | loss: 5.342443 | lrm: 0.01 | dt: 703ms | tok/sec: 372,779 | mfu: 16.1% | epoch: 1 | remaining: 1s    
step 00385 (99.6%) | loss: 5.117907 | lrm: 0.01 | dt: 694ms | tok/sec: 377,557 | mfu: 16.4% | epoch: 1 | remaining: 0s    
step 00386 (99.9%) | loss: 4.914575 | lrm: 0.00 | dt: 696ms | tok/sec: 376,606 | mfu: 16.3% | epoch: 1 | remaining: 0s    
